Title,Release_Year
Mr. Bean’s Holiday,2007
...And Justice For All,1979
The Bridge on the River Kwai,1957
Fletch Lives,1989
Friday After Next,2002
Child's Play,1988
"Hello, Dolly",1969
Le Fabuleux destin d'Amélie Poulain,2001
Silverado,1985
Forget Paris,1995
Striptease,1996
Matilda,1996
Teen Wolf,1985
Zodiac,2007
The Second Best Exotic Marigold Hotel,2015
The Rite,2011
Arthur,2011
Dreamer: Inspired by a True Story,2005
Breach,2007
Dracula 2000,2000
Endless Love,1981
Heroes,1977
The Last Dragon,1985
Sharky's Machine,1981
Mercury Rising,1998
Friday the 13th Part IV: The Final Chapter,1984
*batteries not included,1987
Darkman,1990
Daylight,1996
Balls of Fury,2007
In Her Shoes,2005
The Bad News Bears,2005
Drillbit Taylor,2008
The Joy Luck Club,1993
Team America: World Police,2004
The Last House on the Left,2009
Hereafter,2010
Homeward Bound II:  Lost in San Francisco,1996
The 13th Warrior,1999
October Sky,1999
Taking Lives,2004
When in Rome,2010
Dying Young,1991
Return to Me,2000
Blade Runner,1982
Coming Home,1978
Tommy Boy,1995
Because of Winn-Dixie,2005
The Accidental Tourist,1988
Driven,2001
Proof of Life,2000
Just Friends,2005
Bend it Like Beckham,2003
Darkness Falls,2003
Almost Famous,2000
The Pianist,2002
Murder by Death,1976
Mother’s Day,2016
Unfriended,2015
Paranormal Activity: The Marked Ones,2014
The Men Who Stare at Goats,2009
The Sandlot,1993
Bride of Chucky,1998
(500) Days of Summer,2009
Nightcrawler,2014
Love and Other Drugs,2010
Entourage,2015
Grand Canyon,1991
Black Sheep,1996
Nothing in Common,1986
Rumble in the Bronx,1996
What's the Worst That Could Happen?,2001
Kevin Hart: Let Me Explain,2013
"Definitely, Maybe",2008
The Lost Boys,1987
The Love Guru,2008
Fist Fight,2017
Side Effects,2013
How to Be a Latin Lover,2017
Final Fantasy: The Spirits Within,2001
Analyze That,2002
Stealth,2005
The Lawnmower Man,1992
The Accused,1988
House of Wax,2005
Summer of '42,1971
Mr. Magorium's Wonder Emporium,2007
Robin Hood,1973
Copycat,1995
Metro,1997
Scary Movie V,2013
The Age of Innocence,1993
Earth,2009
She's Out of My League,2010
Cellular,2004
Paper Towns,2015
Psycho,1960
Psycho II,1983
Leaving Las Vegas,1995
An American Werewolf in London,1981
The Apple Dumpling Gang,1975
Dressed to Kill,1980
Bob & Carol & Ted & Alice,1969
Patriots Day,2016
Murder by Numbers,2002
Children of a Lesser God,1986
Extremely Loud and Incredibly Close,2011
Milk,2008
The Shadow,1994
Push,2009
Lake Placid,1999
Herbie Rides Again,1974
9,2009
Jungle Fever,1991
The Wedding Date,2005
The Soloist,2009
Transporter 3,2008
Quarantine,2008
For Richer or Poorer,1997
Paint Your Wagon,1969
History of the World: Part I,1981
August Rush,2007
Hard Target,1993
Can't Buy Me Love,1987
House at the End of the Street,2012
Scott Pilgrim vs. The World,2010
From Hell,2001
One Hour Photo,2002
Chappie,2015
United 93,2006
Benji,1974
Little Big Man,1970
Anacondas: The Hunt for the Blood Orchid,2004
"Good Night, and Good Luck",2005
A History of Violence,2005
Nick and Norah's Infinite Playlist,2008
Zack and Miri Make a Porno,2008
Chef,2014
The Eye,2008
Rob Roy,1995
Leatherheads,2008
Eddie,1996
Daddy's Little Girls,2007
Picture Perfect,1997
Monster's Ball,2001
Bustin' Loose,1981
Beverly Hills Ninja,1997
Cop and ½,1993
Charlie St. Cloud,2010
The Great Muppet Caper,1981
Johnson Family Vacation,2004
The Secret Garden,1993
The Debt,2011
The Mortal Instruments: City of Bones,2013
A Perfect World,1993
How High,2001
Gods of Egypt,2016
True Grit,1969
The Core,2003
Those Magnificent Men In Their Flying...,1965
Camelot,1967
Crimson Peak,2015
High Anxiety,1977
Random Hearts,1999
The Pirates! Band of Misfits,2012
Collateral Beauty,2016
Morning Glory,2010
Calendar Girls,2003
Get Rich or Die Tryin',2005
Paper Moon,1973
Joyful Noise,2012
The Princess Bride,1987
Ryan's Daughter,1970
Powder,1995
I Love Trouble,1994
Murphy's Romance,1985
Toy Story 3D Double Feature,2009
3 Days to Kill,2014
The Legend of Bagger Vance,2000
Home Alone III,1997
Mirrors,2008
Young Doctors in Love,1982
Delivery Man,2013
Dogma,1999
Superstar,1999
Major League II,1994
Deliver Us from Evil,2014
Blank Check,1994
Get on Up,2014
The Sitter,2011
Sleepwalkers,1992
Air America,1990
Open Water,2004
From Here to Eternity,1953
The Champ,1979
Underworld: Blood Wars,2017
Sgt. Bilko,1996
The End,1978
A Night at the Roxbury,1998
Queen of the Damned,2002
The Banger Sisters,2002
Assassins,1995
Honey,2003
Halloween: Resurrection,2002
The Fighting Temptations,2003
The Great Debaters,2007
Life,2017
Weekend at Bernie's,1989
How Do You Know?,2010
Hollywood Homicide,2003
The World According to Garp,1982
The Art of War,2000
Being There,1979
Bad Company,2002
Blown Away,1994
When the Game Stands Tall,2014
Ghost Ship,2002
Space Chimps,2008
Daybreakers,2010
Snatch,2000
Elizabeth,1998
"Hail, Caesar!",2016
Free Willy 2: The Adventure Home,1995
Dragonfly,2002
The Bank Job,2008
Jay and Silent Bob Strike Back,2001
Road House,1989
Point of No Return,1993
The Gods Must Be Crazy,1984
The Sand Pebbles,1966
Airport '77,1977
Chapter Two,1979
Clash of the Titans,1981
Freebie and the Bean,1974
Quo Vadis?,1951
Rollerball,1975
Spartacus,1960
White Christmas,1954
The Iron Lady,2012
Neighbors,1981
Going in Style,1979
Madeline,1998
Double Take,2001
Lean on Me,1989
Grudge Match,2013
Green Card,1990
Wild Things,1998
Riding in Cars with Boys,2001
Mystery Men,1999
Harry and the Hendersons,1987
When the Bough Breaks,2016
Did You Hear About the Morgans?,2009
L'Ours,1989
"Tora, Tora, Tora",1970
The Fog,2005
Twilight Zone: The Movie,1983
A Walk in the Woods,2015
Major Payne,1995
Pacific Heights,1990
Bless the Child,2000
Spice World,1998
Confessions of a Teenage Drama Queen,2004
A Low Down Dirty Shame,1994
Easy Money,1983
Shoot to Kill,1988
Fools Rush In,1997
Romy and Michele's High School Reunion,1997
"Fort Apache, The Bronx",1981
The Rose,1979
Nanny McPhee and the Big Bang,2010
The Object of my Affection,1998
Priest,2011
The Mechanic,2011
Double Impact,1991
Rent,2005
The Stepfather,2009
3 Ninjas,1992
House Calls,1978
The Shaggy Dog,1959
Out to Sea,1997
The New Guy,2002
Chimpanzee,2012
The Insider,1999
The Watcher,2000
James and the Giant Peach,1996
The Guns of Navarone,1961
In the Army Now,1994
One Direction: This is Us,2013
"Girl, Interrupted",1999
Nuts,1987
L.A. Story,1991
Zoolander 2,2016
Draft Day,2014
The Adventures of the Wilderness Family,1975
Samson and Delilah,1949
Kick-Ass 2,2013
Point Break,2015
"Hello, My Name is Doris",2016
Capote,2005
Deceived,1991
Baby Boy,2001
The Five-Year Engagement,2012
Starman,1984
Untraceable,2008
Father's Day,1997
Defiance,2009
28 Weeks Later,2007
Carnal Knowledge,1971
Hoosiers,1986
Drop Zone,1994
The Uninvited,2009
Final Analysis,1992
Swimfan,2002
We Own the Night,2007
Brothers,2009
The Out-of-Towners,1999
Mr. Brooks,2007
Employee of the Month,2006
Crocodile Hunter: Collision Course,2002
Garfield: A Tail of Two Kitties,2006
High Road to China,1983
Stop! Or My Mom Will Shoot,1992
The Carpetbaggers,1964
"Dirty Mary, Crazy Larry",1974
A Man for All Seasons,1966
After the Sunset,2004
Predator 2,1990
Taxi Driver,1976
The Shawshank Redemption,1994
The Cheap Detective,1978
Doom,2005
Marathon Man,1976
Ernest Saves Christmas,1988
"20,000 Leagues Under the Sea",1954
The Prince & Me,2004
Dirty Harry,1971
The Ant Bully,2006
Cannonball Run II,1984
Abduction,2011
Grosse Pointe Blank,1997
That Darn Cat!,1965
Police Academy 4: Citizens on Patrol,1987
Zathura,2005
Johnny English,2003
Herbie Goes to Monte Carlo,1977
Slap Shot,1977
Loaded Weapon 1,1993
The Hindenburg,1975
The Rescuers Down Under,1990
Uncommon Valor,1983
Beastly,2011
Moonlight,2016
Crank,2006
The Other Sister,1999
The Edge,1997
The Majestic,2001
Rings,2017
The Switch,2010
Sinister 2,2015
Menace II Society,1993
Teachers,1984
Oculus,2014
Saw VI,2009
The Island of Dr. Moreau,1996
Hannibal Rising,2007
Never Cry Wolf,1983
Internal Affairs,1990
The Finest Hours,2016
Rear Window,1954
My Life,1993
Friday,1995
The Brothers,2001
Poetic Justice,1993
Dune,1984
Love and Basketball,2000
Desperately Seeking Susan,1985
Memphis Belle,1990
Florence Foster Jenkins,2016
The Last Witch Hunter,2015
Brown Sugar,2002
Someone Like You,2001
Soul Man,1986
Dallas Buyers Club,2013
No Escape,2015
The Muppet Christmas Carol,1992
High Fidelity,2000
Serpico,1973
Cadillac Man,1990
A Passage to India,1984
Brooklyn's Finest,2010
Baby Geniuses,1999
The Jazz Singer,1981
Cloud Atlas,2012
Flash Gordon,1980
The Story of Us,1999
Fast Times at Ridgemont High,1982
Joe Dirt,2001
Paulie,1998
Now and Then,1995
The Big Hit,1998
The Musketeer,2001
Guarding Tess,1994
Hell or High Water,2016
The Lord of the Rings,1978
The Outlaw Josey Wales,1976
Rush,2013
Spy Hard,1996
Tron,1982
Stick It,2006
Child's Play 2,1990
The Women,2008
The Missing,2003
One Missed Call,2008
XXX: State of the Union,2005
Elizabethtown,2005
Resident Evil: The Final Chapter,2017
Ricki and the Flash,2015
The Other Boleyn Girl,2008
The Dream Team,1989
Eye for an Eye,1996
Garden State,2004
The Best of Me,2014
Overboard,1987
Baby Boom,1987
Prizzi's Honor,1985
Winnie the Pooh,2011
Event Horizon,1997
Superhero Movie,2008
The Host,2013
Blast from the Past,1999
El Cid,1961
Basic,2003
The Forest,2016
Machete,2010
Glory,1989
A Clockwork Orange,1971
The Texas Chainsaw Massacre,1974
An American Werewolf in Paris,1997
Harriet the Spy,1996
The Great Gatsby,1974
Bulworth,1998
The Woman in Black 2: Angel of Death,2015
A Man Apart,2003
Sinbad: Legend of the Seven Seas,2003
First Kid,1996
Run All Night,2015
Book of Shadows: Blair Witch 2,2000
Street Kings,2008
One for the Money,2012
Boogie Nights,1997
Ben-Hur,2016
Conan the Destroyer,1984
House Party,1990
Great Expectations,1998
Houseguest,1995
Love the Coopers,2015
Protocol,1984
Sayonara,1957
Wildcats,1986
I.Q.,1994
Necessary Roughness,1991
The Wrestler,2008
All Dogs Go To Heaven,1989
The Fourth Kind,2009
Dumb and Dumberer: When Harry Met Lloyd,2003
Micki + Maude,1984
Blood Work,2002
Ramona and Beezus,2010
Howards End,1992
That Awkward Moment,2014
The Descent,2006
A Walk Among the Tombstones,2014
The Elephant Man,1980
The World's End,2013
Do the Right Thing,1989
The Adventures of Rocky & Bullwinkle,2000
Demetrius and the Gladiators,1954
Son in Law,1993
Jacob's Ladder,1990
Freaky Friday,1977
The Cotton Club,1984
Shutter,2008
The Big Sick,2017
The Nanny Diaries,2007
Leap Year,2010
"Yours, Mine and Ours",1968
Erinnerungen an die Zukunft,1970
Cactus Flower,1969
Alex Cross,2012
Frida,2002
Carrie,1976
Aeon Flux,2005
That Thing You Do!,1996
Shadowlands,1993
Murder at 1600,1997
Betrayed,1988
The Lazarus Effect,2015
Mr. Woodcock,2007
Only When I Laugh,1981
From Dusk Till Dawn,1996
Down Periscope,1996
You Again,2010
The Outsiders,1983
21 and Over,2013
Dance Flick,2009
Agnes of God,1985
Peyton Place,1957
The Mist,2007
Crocodile Dundee in Los Angeles,2001
Jumpin' Jack Flash,1986
Nancy Drew,2007
Jonah: A VeggieTales Movie,2002
Her,2014
Candyman,1992
Memento,2001
Funny Farm,1988
The Muppets Take Manhattan,1984
W.,2008
Halloween II,1981
Desperado,1995
Captain Corelli's Mandolin,2001
Serenity,2005
Mimic,1997
A Nightmare on Elm Street,1984
Beauty and the Beast (IMAX),2002
All About the Benjamins,2002
My Father the Hero,1994
Dark Water,2005
Billy Madison,1995
The International,2009
Ex Machina,2015
Escape from L.A.,1996
Tin Men,1987
The Absent Minded Professor,1961
Boyhood,2014
Can't Hardly Wait,1998
The Great Race,1965
Katy Perry: Part of Me,2012
Top Five,2014
Heartburn,1986
Fallen,1998
The Woman in Red,1984
The Transporter,2002
Sweet November,2001
Jersey Girl,2004
Irma La Douce,1963
Escape from New York,1981
Alien Nation,1988
Sophie's Choice,1982
Black Widow,1987
Aliens in the Attic,2009
Twisted,2004
Nurse Betty,2000
The Parent Trap,1961
The Morning After,1986
Fly Away Home,1996
The Witch,2016
Escape Plan,2013
The Reaping,2007
Killer Elite,2011
Don't Tell Mom the Babysitter's Dead,1991
Born to be Wild 3D,2011
Alpha and Omega 3D,2010
Problem Child 2,1991
Against All Odds,1984
Moscow on the Hudson,1984
In the Name of the Father,1993
Midnight in the Garden of Good and Evil,1997
The Wood,1999
Wyatt Earp,1994
Grindhouse,2007
Ernest Goes to Jail,1990
Kingpin,1996
In the Heart of the Sea,2015
The November Man,2014
The Exorcist III,1990
Exorcist II: The Heretic,1977
Airplane II: The Sequel,1982
Piranha 3D,2010
Logan's Run,1976
Some Like it Hot,1959
Thunderbolt and Lightfoot,1974
Little Man Tate,1991
Invasion of the Body Snatchers,1978
Fright Night,1985
Catch-22,1970
Never Back Down,2008
Season of the Witch,2011
Navy SEALs,1990
Our Idiot Brother,2011
From Russia With Love,1964
Thank You For Smoking,2006
Waking Ned Devine,1998
Quiz Show,1994
The Craft,1996
The Man Without a Face,1993
"Sex, Lies, and Videotape",1989
Gifted,2017
Tim Burton's The Nightmare Before Christmas 3D,2006
Gorillas in the Mist,1988
Lottery Ticket,2010
Summer Rental,1985
Operation Dumbo Drop,1995
The Other Side of Midnight,1977
Air Bud,1997
Huo Yuan Jia,2006
Mad Max 2: The Road Warrior,1982
Fargo,1996
Sicko,2007
Danny the Dog,2005
The Hard Way,1991
The House,2017
Don Jon,2013
Jesus Christ Superstar,1973
Sling Blade,1996
Modern Problems,1981
The Emerald Forest,1985
Notorious,1946
Lucky Lady,1975
The Sweetest Thing,2002
Arlington Road,1999
The Wicker Man,2006
Elektra,2005
Sparkle,2012
Ice Princess,2005
In the Heat of the Night,1967
15 Minutes,2001
Across the Universe,2007
The Spy Next Door,2010
Bronco Billy,1980
Dolores Claiborne,1995
The People Under the Stairs,1991
Hearts in Atlantis,2001
Renaissance Man,1994
Iron Eagle,1986
Lord of War,2005
Tinker Tailor Soldier Spy,2011
Clerks II,2006
An Inconvenient Truth,2006
Bridget Jones’s Baby,2016
Dead Presidents,1995
The Adventures of Huck Finn,1993
From Paris With Love,2010
Spring Break,1983
Body Heat,1981
Don't Be Afraid of the Dark,2011
Angel Eyes,2001
Observe and Report,2009
The Life Aquatic with Steve Zissou,2004
Around the World in 80 Days,2004
Damien: Omen II,1978
An Unmarried Woman,1978
Virtuosity,1995
Corky Romano,2001
Class Action,1991
Graduation Day,1981
The Flamingo Kid,1984
Tom and Huck,1995
Beyond and Back,1978
House of Wax,1953
Magic,1978
Striking Distance,1993
Perfect Stranger,2007
Sea Monsters: A Prehistoric Adventure,2007
Santa Claus,1985
Good Burger,1997
Two of a Kind,1983
Network,1976
Sixteen Candles,1984
The Owl and the Pussycat,1970
Hot Fuzz,2007
Eight Crazy Nights,2002
The Great Mouse Detective,1986
How to Make an American Quilt,1995
The Best Years of Our Lives,1946
My Blue Heaven,1990
The Losers,2010
Kevin Hart: What Now?,2016
Oscar,1991
Traitor,2008
Hotel Rwanda,2004
Agent Cody Banks 2: Destination London,2004
Ernest Goes to Camp,1987
Hoodlum,1997
Heist,2001
Endless Love,2014
Boys on the Side,1995
Caligula,1980
Circle of Friends,1995
The Avengers,1998
Raging Bull,1980
Hoffa,1992
The Covenant,2006
Reindeer Games,2000
The Usual Suspects,1995
One True Thing,1998
Auntie Mame,1958
Operation Petticoat,1959
Kingdom Come,2001
Faster,2010
Vicky Cristina Barcelona,2008
Sanctum,2011
Benny & Joon,1993
Seems Like Old Times,1980
Monte Carlo,2011
Chinatown,1974
Pompeii,2014
The Iron Giant,1999
The Cutting Edge,1992
Piglet's Big Movie,2003
Fighting,2009
Match Point,2005
Stay Alive,2006
Whiskey Tango Foxtrot,2016
The Players Club,1998
The Program,1993
Transcendence,2014
Bulletproof Monk,2003
Ghost Dad,1990
"Same Time, Next Year",1978
The Russia House,1990
2 For the Money,2005
Love Happens,2009
The Remains of the Day,1993
"Goodbye, Columbus",1969
D3: The Mighty Ducks,1996
The Care Bears Movie,1985
Rounders,1998
Ella Enchanted,2004
Revolutionary Road,2008
Crimes of the Heart,1986
Being John Malkovich,1999
Beloved,1998
Raising Arizona,1987
Prime,2005
Missing in Action,1984
On Her Majesty's Secret Service,1969
Frankie and Johnny,1991
Quest for Camelot,1998
Joe Somebody,2001
The Gallows,2015
Xanadu,1980
Titan A.E.,2000
Rudy,1993
Casino Royale,1967
American Gigolo,1980
Dickie Roberts: Former Child Star,2003
The Juror,1996
Prophecy,1979
The Black Dahlia,2006
Thunderheart,1992
Revenge of the Nerds II: Nerds in Paradise,1987
Pure Luck,1991
Guilty as Sin,1993
The Borrowers,1998
The French Lieutenant's Woman,1981
My Tutor,1983
The World's Greatest Athlete,1973
"Lt. Robin Crusoe, U.S.N.",1966
Much Ado About Nothing,1993
Lionheart,1991
The Incredible Burt Wonderstone,2013
Babylon A.D.,2008
My Super Ex-Girlfriend,2006
Victor/Victoria,1982
Captain Ron,1992
EDtv,1999
Adaptation,2002
Lucky Number Slevin,2006
The Warriors,1979
War,2007
My Bodyguard,1980
Hitman: Agent 47,2015
Fame,2009
Magnolia,1999
Red Corner,1997
License to Drive,1988
City by the Sea,2002
The Alamo,2004
Deuce Bigalow: European Gigolo,2005
The Bye Bye Man,2017
At First Sight,1999
Blue Chips,1994
Project Almanac,2015
My Fellow Americans,1996
The Lion in Winter,1968
Leap of Faith,1992
For the Love of Benji,1977
Empire of the Sun,1987
Two Can Play That Game,2001
Emma,1996
Norma Rae,1979
Hustle & Flow,2005
The Last Starfighter,1984
The Bermuda Triangle,1979
Nowhere to Run,1993
The Sword in the Stone,1963
A Nightmare On Elm Street: The Dream Child,1989
Darkness,2004
Son of Flubber,1963
The Medallion,2003
A Soldier's Story,1984
Don Juan DeMarco,1995
Frankenstein,1994
Death Wish,1974
In Search of Historic Jesus,1980
Billy Elliot,2000
Joy Ride,2001
Boys,1996
Friday the 13th Part V: A New Beginning,1985
Biker Boyz,2003
Love Don't Cost a Thing,2003
Rough Night,2017
A Lot Like Love,2005
Only the Lonely,1991
The Big Wedding,2013
Il Postino,1995
Mr. 3000,2004
The Caine Mutiny,1954
Boys and Girls,2000
Ricochet,1991
Exodus,1960
Shining Through,1992
The Bachelor,1999
Friday the 13th Part 2,1981
Lock Up,1989
Cousins,1989
The Green Berets,1968
The Player,1992
"The Russians Are Coming, the Russians Are Coming",1966
Class,1983
Como agua para chocolate,1993
The Rookie,1990
The Quest,1996
Your Highness,2011
Consenting Adults,1992
Mud,2013
Snowden,2016
Bowling for Columbine,2002
Black or White,2015
Baggage Claim,2013
He Got Game,1998
NASCAR: The IMAX Experience,2004
Psycho,1998
Just Wright,2010
Blackbeard's Ghost,1968
"Oh God, You Devil!",1984
The Way Way Back,2013
The Right Stuff,1983
The Book Thief,2013
Married to the Mob,1988
Enter the Dragon,1973
Battlefield Earth: A Saga of the Year 3000,2000
The Last Mimzy,2007
Urban Legends: Final Cut,2000
Tough Guys,1986
Toys,1992
The Darkest Hour,2011
A Very Brady Sequel,1996
Mr. Magoo,1997
Skyline,2010
Quigley Down Under,1990
The Place Beyond the Pines,2013
Rhinestone,1984
Mars Needs Moms,2011
Cold Creek Manor,2003
The Fog,1980
The First Power,1990
Waist Deep,2006
National Lampoon's Van Wilder,2002
Dream House,2011
The Bells of St. Mary's,1945
The King and I,1956
Die Unendliche Geschichte,1984
Conan the Barbarian,2011
The Freshman,1990
The Black Cauldron,1985
To Die For,1995
Chain Reaction,1996
"As Above, So Below",2014
Mechanic: Resurrection,2016
Amazing Grace,2007
Fame,1980
Straight Talk,1992
Christine,1983
Mister Roberts,1955
Bulletproof,1996
Torque,2004
Raising Cain,1992
ATL,2006
A Nightmare On Elm Street Part 2: Freddy's Revenge,1985
Cabin Fever,2003
Cujo,1983
Coneheads,1993
The Next Three Days,2010
Things Are Tough All Over,1982
A Stir of Echoes,1999
Ferngully… The Last Rainforest,1992
Top Secret!,1984
Valerian and the City of a Thousand Planets,2017
Tales from the Crypt: Demon Knight,1995
Antwone Fisher,2002
F/X2,1991
Weekend Pass,1984
Aloha,2015
Punchline,1988
Night Shift,1982
Flight of the Phoenix,2004
The Fantastic Mr. Fox,2009
Flicka,2006
Dracula,1979
The Man with the Golden Gun,1974
The World's Greatest Lover,1977
High School High,1996
The X-Files: I Want to Believe,2008
A Room with a View,1986
La Guerre du feu,1982
Looney Tunes: Back in Action,2003
Shorts,2009
Mr. Baseball,1992
Short Circuit 2,1988
Grand Prix,1966
Super Mario Bros.,1993
The Kids Are All Right,2010
Free State of Jones,2016
The Hills Have Eyes II,2007
Jason's Lyric,1994
Sleepless,2017
The Air Up There,1994
Whale Rider,2003
Blair Witch,2016
God’s Not Dead 2,2016
The Dead Zone,1983
The Apostle,1997
Hamlet,1990
George A. Romero's Land of the Dead,2005
Fear,1996
Diary of a Wimpy Kid: The Long Haul,2017
Mad Money,2008
Cat Ballou,1965
The Man From Snowy River,1982
Intersection,1994
Iron Will,1994
A Christmas Story,1983
F/X,1986
Keanu,2016
The Invisible,2007
Speechless,1994
Gamer,2009
Porky's Revenge,1985
The Last Picture Show,1971
The Circle,2017
The Final Conflict,1981
The Groove Tube,1974
The In-Laws,2003
Madhouse,1990
The Adventures of Ford Fairlane,1990
Little Black Book,2004
Hello Again,1987
The Beach Girls,1982
The Glimmer Man,1996
Some Kind of Hero,1982
Duel in the Sun,1946
Brick Mansions,2014
F.I.S.T,1978
Valentine,2001
The Three Musketeers,2011
Showgirls,1995
Code of Silence,1985
A Prairie Home Companion,2006
Reno 911!: Miami,2007
Down with Love,2003
"Gone, Baby, Gone",2007
City Hall,1996
Premium Rush,2012
Vampires,1998
Pulse,2006
The Incredible Shrinking Woman,1981
Action Jackson,1988
Our Family Wedding,2010
Mobsters,1991
Critical Condition,1987
Six Pack,1982
The People vs. Larry Flynt,1996
Country Strong,2010
An American Tail: Fievel Goes West,1991
Sudden Death,1995
Appaloosa,2008
A Force of One,1979
Jag ar Nyfiken - en film i gult,1969
Secret in Their Eyes,2015
Homefront,2013
Big Miracle,2012
Juice,1992
"Corrina, Corrina",1994
Multiplicity,1996
Love and Death,1975
Another Stakeout,1993
Tess,1980
Flipper,1996
Reality Bites,1994
Booty Call,1997
Stella,1990
With Honors,1994
Only You,1994
Assault On Precinct 13,2005
Say Anything…,1989
Creepshow,1982
The Presidio,1988
Down to You,2000
The Life of Brian,1979
Middle School: The Worst Years of My Life,2016
Prelude to a Kiss,1992
Taking Care of Business,1990
The Adventure of Sherlock Holmes' Smarter Brother,1975
Barry Lyndon,1975
Breaking Away,1979
The Great Waldo Pepper,1975
Outland,1981
Shane,1953
Barefoot in the Park,1967
Unfaithfully Yours,1984
Breathless,1983
Volunteers,1985
Hard Rain,1998
Altered States,1980
Jane Austen's Mafia,1998
Innerspace,1987
The Spirit,2008
Cruising,1980
Yu-Gi-Oh,2004
Color of Night,1994
Gone Fishin',1997
Betsy's Wedding,1990
Young Sherlock Holmes,1985
Dad,1989
The Cowboy Way,1994
Lady Sings the Blues,1972
Fire in the Sky,1993
The Pledge,2001
Broken City,2013
Nine Lives,2016
Man of the House,2005
The Life of David Gale,2003
Summer Catch,2001
Nine,2009
Don't Be a Menace to South Central While Drinki…,1996
Reign Over Me,2007
Tucker: The Man and His Dream,1988
Vampire in Brooklyn,1995
Kuffs,1992
The Serpent and the Rainbow,1988
8 Seconds,1994
Heavy Metal,1981
Astro Boy,2009
Jetsons: The Movie,1990
The Professionals,1966
Igor,2008
Police Academy 5: Assignment: Miami Beach,1988
"Dolce Vita, La",1961
This is the Army,1943
The Eagle,2011
Hero,1992
Timeline,2003
Valiant,2005
It Takes Two,1995
Friday the 13th Part VI: Jason Lives,1986
Beautiful Creatures,2013
House,1986
The Fly II,1989
House Party 2,1991
Oceans,2010
Doug's 1st Movie,1999
The Producers: The Movie Musical,2005
An Innocent Man,1989
Wonder Boys,2000
Shaun the Sheep,2015
Saving Silverman,2001
Joe,1970
Runner Runner,2013
Little Giants,1994
Cursed,2005
Summer of Sam,1999
Léon,1994
Deathtrap,1982
Best Defense,1984
My Best Friend's Girl,2008
Species 2,1998
The Principal,1987
House Party 3,1994
Kari gurashi no Arietti,2012
Beerfest,2006
Martin Lawrence Live: RunTelDat,2002
Two Brothers,2004
Mother,1996
Friday the 13th Part VII: The New Blood,1988
Tuck Everlasting,2002
The Fox,1968
Race,2016
That's Entertainment,1974
Waitress,2007
Bugs!,2003
Hart's War,2002
"I, Frankenstein",2014
Remember Me,2010
Vacancy,2007
Blaze,1989
The Replacement Killers,1998
Mommie Dearest,1981
The Impossible,2012
Mortal Thoughts,1991
North Dallas Forty,1979
Johnny Mnemonic,1995
The Boys from Brazil,1978
The Jolson Story,1946
The Octagon,1980
The Seduction of Joe Tynan,1979
Skin Deep,1989
Sniper,1993
Rollerball,2002
Baahubali 2: The Conclusion,2017
Bed of Roses,1996
Haywire,2012
Cocoon: The Return,1988
The Odd Couple II,1998
The Eyes of Laura Mars,1978
Untamed Heart,1993
Georgia Rule,2007
Kazaam,1996
Shark Night 3D,2011
The Seventh Sign,1988
Alfie,1966
Above the Law,1988
The Legend of Hercules,2014
Akeelah and the Bee,2006
The Marine,2006
Paternity,1981
Under the Rainbow,1981
"What's New, Pussycat",1965
Across the Great Divide,1976
Macon County Line,1974
Thrill Ride: The Science of Fun,1997
Suspect,1987
Into the Blue,2005
The Upside of Anger,2005
The Believers,1987
Pillow Talk,1959
The Choice,2016
Year of the Dragon,1985
Eye in the Sky,2016
Becoming Jane,2007
Still Alice,2015
The Ninth Gate,2000
Anywhere But Here,1999
Michael Jordan to the MAX,2000
Paradise,1991
Frost/Nixon,2008
Best in Show,2000
Man on a Ledge,2012
The Boatniks,1970
CHiPS,2017
The Apartment,1960
Blame it on Rio,1984
Aquamarine,2006
The Fan,1996
Galapagos,1999
I Am Curious,1969
Flight of the Navigator,1986
Some Kind of Wonderful,1987
The Quick and the Dead,1995
An Ideal Husband,1999
Project X,1987
Ultraviolet,2006
You're Next,2013
Super Troopers,2002
Singles,1992
Casualties of War,1989
The Invention of Lying,2009
A Thousand Words,2012
In Search of Castaways,1962
Ladyhawke,1985
Quartet,2013
Into the Wild,2007
Sleeper,1973
127 Hours,2010
North Country,2005
Babe: Pig in the City,1998
Walk Hard: The Dewey Cox Story,2007
The Four Feathers,2002
That Darn Cat,1997
Good Guys Wear Black,1978
Fright Night,2011
Paranormal Activity: The Ghost Dimension,2015
Geronimo: An American Legend,1993
Posse,1993
Love Affair,1994
Sugar Hill,1994
Crimes and Misdemeanors,1989
Simon Birch,1998
Harold & Kumar Go to White Castle,2004
Next,2007
The Last Castle,2001
Dead Men Don't Wear Plaid,1982
Getting Even With Dad,1994
The Sure Thing,1985
Milk Money,1994
The Fabulous Baker Boys,1989
Chernobyl Diaries,2012
Last Man Standing,1996
Five Easy Pieces,1970
Pooh's Heffalump Movie,2005
Wes Craven's New Nightmare,1994
DuckTales: The Movie - Treasure of the Lost Lamp,1990
Private Lessons,1981
"Jo Jo Dancer, Your Life is Calling",1986
Everything You Always Wanted to Know,1972
Admission,2013
Ann och Eve - de Erotiska,1970
Death on the Nile,1978
Hardly Working,1980
Ice Castles,1978
The Private Eyes,1981
Windwalker,1980
The Howling,1981
Used People,1992
The Glass House,2001
The Pom Pom Girls,1976
The Crow: City of Angels,1996
Bedknobs and Broomsticks,1971
